                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                 1.1265,                0.49702,                 1.1682,                0.96555,                0.98021,                0.98712,                0.68633,                 1.1386,                0.47208,                 1.4029,               0.008383,               0.008383,               0.008383
                    100,                 1.1265,                0.49303,                 1.1818,                 0.9632,                0.96834,                 0.9865,                0.67704,                 1.1669,                0.49192,                 1.4225,              0.0083665,              0.0083665,              0.0083665
                    101,                  1.114,                0.48598,                 1.1554,                0.92443,                0.93603,                0.96523,                 0.6358,                 1.2169,                0.57584,                 1.4448,                0.00835,                0.00835,                0.00835
                    102,                 1.1476,                0.49893,                  1.152,                0.91643,                0.91557,                0.95989,                0.61872,                  1.251,                0.59119,                 1.4585,              0.0083335,              0.0083335,              0.0083335
                    103,                 1.1195,                0.49372,                 1.1494,                 0.9619,                0.96603,                0.98498,                0.67777,                  1.158,                0.48618,                 1.4202,               0.008317,               0.008317,               0.008317
                    104,                 1.1355,                0.49954,                 1.1717,                0.96391,                0.96834,                0.98619,                0.66282,                 1.1748,                0.49847,                 1.4343,              0.0083005,              0.0083005,              0.0083005
                    105,                 1.1368,                0.49693,                 1.1993,                 0.9609,                0.97254,                0.98603,                0.67636,                 1.1696,                0.48206,                 1.4247,               0.008284,               0.008284,               0.008284
                    106,                 1.1353,                0.49474,                 1.1186,                  0.947,                 0.9664,                0.98377,                0.65857,                 1.1737,                0.51169,                 1.4236,              0.0082675,              0.0082675,              0.0082675
                    107,                 1.1013,                0.48365,                 1.1412,                0.96164,                0.97625,                 0.9864,                0.67606,                  1.167,                0.47367,                 1.4217,               0.008251,               0.008251,               0.008251
                    108,                 1.1316,                0.49019,                 1.1485,                0.96822,                0.97889,                0.98782,                0.67512,                 1.1684,                0.47502,                 1.4466,              0.0082345,              0.0082345,              0.0082345
                    109,                 1.1241,                0.49234,                  1.156,                0.96242,                0.97969,                0.98654,                0.68317,                 1.1347,                0.46845,                 1.4167,               0.008218,               0.008218,               0.008218
                    110,                 1.1328,                0.48568,                   1.16,                0.95961,                0.97757,                0.98584,                0.67409,                 1.1557,                0.46142,                 1.4332,              0.0082015,              0.0082015,              0.0082015
                    111,                 1.0979,                0.47965,                 1.1575,                0.96157,                0.98021,                0.98574,                0.68275,                 1.1583,                0.46063,                  1.437,               0.008185,               0.008185,               0.008185
                    112,                 1.1095,                0.48085,                  1.142,                0.96715,                0.98021,                0.98801,                0.69353,                 1.1268,                0.45136,                 1.3918,              0.0081685,              0.0081685,              0.0081685
                    113,                 1.1051,                0.47819,                 1.1278,                0.95552,                0.98285,                0.98676,                0.69302,                 1.1174,                0.46706,                 1.3806,               0.008152,               0.008152,               0.008152
                    114,                 1.1197,                0.48469,                 1.1557,                0.95722,                0.97411,                0.98507,                  0.675,                 1.1669,                 0.4673,                 1.4015,              0.0081355,              0.0081355,              0.0081355
                    115,                  1.106,                0.47226,                 1.1399,                0.96892,                0.97757,                 0.9866,                0.67927,                 1.1436,                0.46475,                  1.413,               0.008119,               0.008119,               0.008119
                    116,                 1.0929,                0.47284,                 1.1443,                0.96493,                 0.9801,                0.98737,                0.68373,                 1.1743,                0.45968,                 1.4354,              0.0081025,              0.0081025,              0.0081025
                    117,                 1.1184,                0.48463,                 1.1563,                0.95459,                0.98549,                0.98663,                0.67902,                 1.1621,                0.45715,                 1.4346,               0.008086,               0.008086,               0.008086
                    118,                 1.0934,                0.47765,                 1.1434,                0.96245,                0.98069,                0.98804,                 0.6873,                 1.1353,                0.46686,                 1.3878,              0.0080695,              0.0080695,              0.0080695
                    119,                 1.0909,                0.47532,                 1.1218,                0.95775,                0.95646,                0.98532,                0.66266,                 1.1816,                0.51139,                 1.4281,               0.008053,               0.008053,               0.008053
                    120,                 1.1118,                0.48264,                 1.1267,                0.93377,                 0.9591,                 0.9815,                0.65383,                 1.2019,                0.53194,                 1.4382,              0.0080365,              0.0080365,              0.0080365
                    121,                 1.0994,                0.47207,                 1.1245,                0.95701,                0.96919,                0.98387,                0.67153,                 1.1503,                0.48255,                 1.3963,                0.00802,                0.00802,                0.00802
                    122,                 1.0945,                0.47838,                 1.1141,                0.95795,                0.96834,                0.98551,                0.67624,                 1.1585,                 0.4671,                 1.4442,              0.0080035,              0.0080035,              0.0080035
                    123,                 1.0879,                0.47431,                 1.1263,                0.96615,                0.97902,                0.98729,                0.68384,                 1.1418,                0.45912,                 1.4084,               0.007987,               0.007987,               0.007987
                    124,                 1.1068,                0.47845,                 1.1243,                0.96143,                0.97361,                 0.9857,                0.67651,                 1.1563,                0.46082,                 1.4195,              0.0079705,              0.0079705,              0.0079705
                    125,                  1.082,                0.46401,                 1.1197,                0.96505,                0.98365,                0.98642,                0.68984,                 1.1379,                0.46086,                 1.4057,               0.007954,               0.007954,               0.007954
                    126,                  1.091,                0.46725,                 1.1247,                0.96503,                0.98311,                0.98745,                0.68996,                 1.1326,                0.44605,                 1.4104,              0.0079375,              0.0079375,              0.0079375
                    127,                 1.1007,                0.47176,                 1.1547,                0.97511,                0.98194,                 0.9881,                0.69131,                 1.1183,                 0.4456,                  1.401,               0.007921,               0.007921,               0.007921
